date,RSI
2016-09-16,67.0313
2016-09-19,66.2216
2016-09-20,65.3902
2016-09-21,62.2184
2016-09-22,63.328
2016-09-23,59.5322
2016-09-26,52.5053
2016-09-27,57.6875
2016-09-28,57.5916
2016-09-29,52.8746
2016-09-30,55.0769
2016-10-03,62.3028
2016-10-04,57.2424
2016-10-05,59.0806
2016-10-06,61.9676
2016-10-07,60.0799
2016-10-10,60.4259
2016-10-11,53.8709
2016-10-12,56.3624
2016-10-13,52.2758
2016-10-14,54.7855
2016-10-17,53.31
2016-10-18,53.6386
2016-10-19,53.2441
2016-10-20,53.6033
2016-10-21,55.0568
2016-10-24,57.1752
2016-10-25,52.8084
2016-10-26,53.5552
2016-10-27,51.4141
2016-10-28,50.5629
2016-10-31,51.4097
2016-11-01,45.2862
2016-11-02,44.5416
2016-11-03,46.3971
2016-11-04,50.7347
2016-11-07,56.6437
2016-11-08,57.6463
2016-11-09,64.3074
2016-11-10,64.3074
2016-11-11,69.4069
2016-11-14,69.4069
2016-11-15,69.6255
2016-11-16,69.1058
2016-11-17,73.3013
2016-11-18,68.871
2016-11-21,66.0688
2016-11-22,65.6005
2016-11-23,66.5973
2016-11-25,66.8501
2016-11-28,57.2693
2016-11-29,60.9191
2016-11-30,56.2507
2016-12-01,54.4215
2016-12-02,46.4281
2016-12-05,51.5246
2016-12-06,55.2177
2016-12-07,48.7897
2016-12-08,46.0886
2016-12-09,48.801
2016-12-12,47.5421
2016-12-13,45.8009
2016-12-14,44.5735
2016-12-15,46.0941
2016-12-16,45.5677
2016-12-19,52.9243
2016-12-20,54.178
2016-12-21,59.8108
2016-12-22,61.4088
2016-12-23,62.1998
2016-12-27,62.8018
2016-12-28,57.0625
2016-12-29,55.0048
2016-12-30,51.9085
2017-01-03,57.0039
2017-01-04,53.993
2017-01-05,52.923
2017-01-06,51.8416
2017-01-09,49.1962
2017-01-10,53.4472
2017-01-11,54.1597
2017-01-12,52.469
2017-01-13,53.7359
2017-01-17,51.705
2017-01-18,51.1239
2017-01-19,51.6954
2017-01-20,53.9618
2017-01-23,52.6613
2017-01-24,53.8325
2017-01-25,52.8012
2017-01-26,53.4273
2017-01-27,51.6251
2017-01-30,52.6342
2017-01-31,49.7228
2017-02-01,44.8287
2017-02-02,45.2071
2017-02-03,44.2486
2017-02-06,42.6616
2017-02-07,41.7167
2017-02-08,34.0438
2017-02-09,33.818
2017-02-10,36.9014
2017-02-13,36.9014
2017-02-14,37.3634
2017-02-15,38.3141
2017-02-16,36.8425
2017-02-17,36.547
2017-02-21,34.5075
2017-02-22,39.5779
2017-02-23,39.5779
2017-02-24,40.0918
2017-02-27,40.6234
2017-02-28,39.8785
2017-03-01,33.6986
2017-03-02,30.315
2017-03-03,28.6827
2017-03-06,28.2256
2017-03-07,29.9873
2017-03-08,31.1728
2017-03-09,33.5419
2017-03-10,40.0972
2017-03-13,42.5813
2017-03-14,44.0467
2017-03-15,40.7615
2017-03-16,41.7773
2017-03-17,45.6979
2017-03-20,45.6979
2017-03-21,42.1591
2017-03-22,43.6892
2017-03-23,42.8929
2017-03-24,49.2245
2017-03-27,48.7866
2017-03-28,46.6041
2017-03-29,50.3452
2017-03-30,52.1112
2017-03-31,54.6574
2017-04-03,57.806
2017-04-04,54.8017
2017-04-05,49.8062
2017-04-06,48.127
2017-04-07,44.5681
2017-04-10,47.3027
2017-04-11,47.7549
2017-04-12,44.5368
2017-04-13,43.7607
2017-04-17,48.4851
2017-04-18,46.8288
2017-04-19,46.0016
2017-04-20,51.0111
2017-04-21,50.5623
2017-04-24,48.7558
2017-04-25,51.4922
2017-04-26,53.2442
2017-04-27,48.6226
2017-04-28,45.3107
2017-05-01,41.5837
2017-05-02,44.0077
2017-05-03,44.4926
2017-05-04,39.4569
2017-05-05,37.5402
2017-05-08,35.714
2017-05-09,36.7929
2017-05-10,31.5054
2017-05-11,29.3988
2017-05-12,26.8766
2017-05-15,25.1717
2017-05-16,22.8031
2017-05-17,19.6118
2017-05-18,19.3638
2017-05-19,27.1256
2017-05-22,26.1327
2017-05-23,25.0084
2017-05-24,21.7693
2017-05-25,21.5143
2017-05-26,32.3592
2017-05-30,28.1129
2017-05-31,25.8635
2017-06-01,33.4472
2017-06-02,40.9721
2017-06-05,41.9948
2017-06-06,39.8163
2017-06-07,37.5923
2017-06-08,37.2554
2017-06-09,36.0643
2017-06-12,37.2706
2017-06-13,41.6186
2017-06-14,41.4172
2017-06-15,40.7936
2017-06-16,44.3231
2017-06-19,44.8994
2017-06-20,39.9002
2017-06-21,37.7823
2017-06-22,37.7823
2017-06-23,41.2383
2017-06-26,41.0202
2017-06-27,40.1269
2017-06-28,43.6775
2017-06-29,42.4724
2017-06-30,38.452
2017-07-03,41.3728
2017-07-05,38.193
2017-07-06,35.1589
2017-07-07,37.1304
2017-07-10,35.4295
2017-07-11,40.5277
2017-07-12,37.0624
2017-07-13,41.4536
2017-07-14,40.463
2017-07-17,33.1297
2017-07-18,35.3714
2017-07-19,34.6081
2017-07-20,38.7799
2017-07-21,37.9308
2017-07-24,38.7774
2017-07-25,40.762
2017-07-26,41.8949
2017-07-27,40.4691
2017-07-28,39.6574
2017-07-31,39.2431
2017-08-01,41.803
2017-08-02,25.7895
2017-08-03,25.6051
2017-08-04,31.5306
2017-08-07,31.1895
2017-08-08,31.4497
2017-08-09,29.9025
2017-08-10,27.594
2017-08-11,26.7655
